LLM,Technique,QuestionID,Response
GPT-4o-mini,Basic_Prompting,1,A
GPT-4o-mini,Basic_Prompting,1,B
GPT-4o-mini,Basic_Prompting,1,A
GPT-4o-mini,Basic_Prompting,1,B
GPT-4o-mini,Basic_Prompting,1,A
GPT-4o-mini,Basic_Prompting,1,B
GPT-4o-mini,Basic_Prompting,1,A
GPT-4o-mini,Basic_Prompting,1,A
GPT-4o-mini,Basic_Prompting,1,B
GPT-4o-mini,Basic_Prompting,1,A
GPT-4o-mini,Basic_Prompting,1,A
GPT-4o-mini,Basic_Prompting,1,B
GPT-4o-mini,Basic_Prompting,1,A
GPT-4o-mini,Basic_Prompting,1,A
GPT-4o-mini,Basic_Prompting,1,B
GPT-4o-mini,Basic_Prompting,1,B
GPT-4o-mini,Basic_Prompting,1,A
GPT-4o-mini,Basic_Prompting,1,B
GPT-4o-mini,Basic_Prompting,1,A
GPT-4o-mini,Basic_Prompting,1,B
GPT-4o-mini,Basic_Prompting,1,A
GPT-4o-mini,Basic_Prompting,1,B
GPT-4o-mini,Basic_Prompting,1,A
GPT-4o-mini,Basic_Prompting,1,A
GPT-4o-mini,Basic_Prompting,1,B
GPT-4o-mini,Basic_Prompting,1,A
GPT-4o-mini,Basic_Prompting,1,B
GPT-4o-mini,Basic_Prompting,1,A
GPT-4o-mini,Basic_Prompting,1,A
GPT-4o-mini,Basic_Prompting,1,B
GPT-4o-mini,Basic_Prompting,1,B
GPT-4o-mini,Basic_Prompting,1,A
GPT-4o-mini,Basic_Prompting,1,B
GPT-4o-mini,Basic_Prompting,1,A
GPT-4o-mini,Basic_Prompting,1,B
GPT-4o-mini,Basic_Prompting,1,A
GPT-4o-mini,Basic_Prompting,1,B
GPT-4o-mini,Basic_Prompting,1,A
GPT-4o-mini,Basic_Prompting,1,B
GPT-4o-mini,Basic_Prompting,1,A
GPT-4o-mini,Basic_Prompting,1,A
GPT-4o-mini,Basic_Prompting,1,B
GPT-4o-mini,Basic_Prompting,1,A
GPT-4o-mini,Basic_Prompting,1,B
GPT-4o-mini,Basic_Prompting,1,A
GPT-4o-mini,Basic_Prompting,1,B
GPT-4o-mini,Basic_Prompting,1,A
GPT-4o-mini,Basic_Prompting,1,B
GPT-4o-mini,Basic_Prompting,1,A
GPT-4o-mini,Basic_Prompting,1,B
GPT-4o-mini,Basic_Prompting,1,A
GPT-4o-mini,Basic_Prompting,1,B
GPT-4o-mini,Basic_Prompting,1,A
GPT-4o-mini,Basic_Prompting,1,A
GPT-4o-mini,Basic_Prompting,1,B
GPT-4o-mini,Basic_Prompting,1,A
GPT-4o-mini,Basic_Prompting,1,B
GPT-4o-mini,Basic_Prompting,1,A
GPT-4o-mini,Basic_Prompting,1,B
GPT-4o-mini,Basic_Prompting,1,A
GPT-4o-mini,Basic_Prompting,1,B
